item,pred,ext
http://www.wikidata.org/entity/Q1007870,http://www.wikidata.org/prop/direct/P1709,https://schema.org/ArtGallery
http://www.wikidata.org/entity/Q101224664,http://www.wikidata.org/prop/direct/P1709,http://wordnet-rdf.princeton.edu/pwn30/04177931-n
http://www.wikidata.org/entity/Q101405849,http://www.wikidata.org/prop/direct/P2888,http://id.loc.gov/vocabulary/relators/dgs
http://www.wikidata.org/entity/Q101405849,http://www.wikidata.org/prop/direct/P2888,http://rdaregistry.info/Elements/w/P10041
http://www.wikidata.org/entity/Q102121698,http://www.wikidata.org/prop/direct/P1709,http://id.loc.gov/authorities/classification/JS411
http://www.wikidata.org/entity/Q1021290,http://www.wikidata.org/prop/direct/P1709,http://lemac.sgcb.mcu.es/Autoridades/LEMAC201208291/concept
http://www.wikidata.org/entity/Q102202026,http://www.wikidata.org/prop/direct/P1709,http://archaeology.link/ontology#ProductionCentre
http://www.wikidata.org/entity/Q102202026,http://www.wikidata.org/prop/direct/P2888,http://archaeology.link/ontology#ProductionCentre
http://www.wikidata.org/entity/Q102496,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/resource/Parish
http://www.wikidata.org/entity/Q1028181,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Painter
http://www.wikidata.org/entity/Q103459,http://www.wikidata.org/prop/direct/P2888,http://purl.obolibrary.org/obo/ENVO_02000005
http://www.wikidata.org/entity/Q10384,http://www.wikidata.org/prop/direct/P2888,https://schema.org/Geriatric
http://www.wikidata.org/entity/Q10438042,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/BusCompany
http://www.wikidata.org/entity/Q1043939,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/resource/Carnegie_library
http://www.wikidata.org/entity/Q1043939,http://www.wikidata.org/prop/direct/P1709,http://yago-knowledge.org/resource/Carnegie_library
http://www.wikidata.org/entity/Q104481692,http://www.wikidata.org/prop/direct/P3950,https://d-nb.info/standards/elementset/gnd#succeedingCorporateBody
http://www.wikidata.org/entity/Q105011746,http://www.wikidata.org/prop/direct/P2888,https://player.fm/podcasts/blockchain
http://www.wikidata.org/entity/Q105011746,http://www.wikidata.org/prop/direct/P2888,https://player.fm/podcasts/Cryptocurrency
http://www.wikidata.org/entity/Q105011746,http://www.wikidata.org/prop/direct/P2888,https://www.listennotes.com/best-crypto-blockchain-podcasts-136/
http://www.wikidata.org/entity/Q105012442,http://www.wikidata.org/prop/direct/P2888,https://audiojunkie.co/podcasts?category=tech
http://www.wikidata.org/entity/Q105012442,http://www.wikidata.org/prop/direct/P2888,https://audiojunkie.co/podcasts?&tagged_with%5B%5D=technology
http://www.wikidata.org/entity/Q105012442,http://www.wikidata.org/prop/direct/P2888,https://fyyd.de/discover/cat/technology/0
http://www.wikidata.org/entity/Q105012442,http://www.wikidata.org/prop/direct/P2888,https://player.fm/podcasts/Tech-News
http://www.wikidata.org/entity/Q105012442,http://www.wikidata.org/prop/direct/P2888,https://player.fm/podcasts/Technology
http://www.wikidata.org/entity/Q105012442,http://www.wikidata.org/prop/direct/P2888,https://www.listennotes.com/best-technology-podcasts-127/
http://www.wikidata.org/entity/Q105012442,http://www.wikidata.org/prop/direct/P2888,https://www.npr.org/podcasts/2061/technology
http://www.wikidata.org/entity/Q10517054,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/HandballTeam
http://www.wikidata.org/entity/Q105815710,http://www.wikidata.org/prop/direct/P1709,https://schema.org/PerformingGroup
http://www.wikidata.org/entity/Q105939984,http://www.wikidata.org/prop/direct/P1709,http://musicontology.com/specification/#term-Label
