item,ext
http://www.wikidata.org/entity/Q1002697,http://dbpedia.org/ontology/PeriodicalLiterature
http://www.wikidata.org/entity/Q1002697,https://schema.org/Periodical
http://www.wikidata.org/entity/Q1004,http://comicmeta.org/cbo/Comic
http://www.wikidata.org/entity/Q1004,https://schema.org/ComicStory
http://www.wikidata.org/entity/Q1006733,http://purl.obolibrary.org/obo/ENVO_00000106
http://www.wikidata.org/entity/Q1007870,https://schema.org/ArtGallery
http://www.wikidata.org/entity/Q100900880,http://purl.obolibrary.org/obo/ENVO_01001062
http://www.wikidata.org/entity/Q101224664,http://wordnet-rdf.princeton.edu/pwn30/04177931-n
http://www.wikidata.org/entity/Q101352,http://dbpedia.org/ontology/Surname
http://www.wikidata.org/entity/Q101352,http://www.loc.gov/mads/rdf/v1#FamilyName
http://www.wikidata.org/entity/Q101600,http://dbpedia.org/ontology/BrownDwarf
http://www.wikidata.org/entity/Q101967894,http://urn.fi/urn:nbn:fi:au:seko:00018
http://www.wikidata.org/entity/Q101968884,http://urn.fi/urn:nbn:fi:au:seko:00019
http://www.wikidata.org/entity/Q102014,https://www.w3.org/ns/activitystreams#Link
http://www.wikidata.org/entity/Q102121698,http://id.loc.gov/authorities/classification/JS411
http://www.wikidata.org/entity/Q1021290,http://lemac.sgcb.mcu.es/Autoridades/LEMAC201208291/concept
http://www.wikidata.org/entity/Q102201947,http://archaeology.link/ontology#KilnRegion
http://www.wikidata.org/entity/Q102202026,http://archaeology.link/ontology#ProductionCentre
http://www.wikidata.org/entity/Q102202066,http://archaeology.link/ontology#DiscoverySite
http://www.wikidata.org/entity/Q102496,http://dbpedia.org/resource/Parish
http://www.wikidata.org/entity/Q1028181,http://dbpedia.org/ontology/Painter
http://www.wikidata.org/entity/Q10301427,http://purl.org/dc/dcmitype/MovingImage
http://www.wikidata.org/entity/Q103184,http://www.lexinfo.net/ontology/2.0/lexinfo#Article
http://www.wikidata.org/entity/Q103184,http://www.lexinfo.net/ontology/3.0/lexinfo#Article
http://www.wikidata.org/entity/Q103995117,https://schema.org/MedicalEntity
http://www.wikidata.org/entity/Q10438042,http://dbpedia.org/ontology/BusCompany
http://www.wikidata.org/entity/Q1043939,http://dbpedia.org/resource/Carnegie_library
http://www.wikidata.org/entity/Q1043939,http://yago-knowledge.org/resource/Carnegie_library
http://www.wikidata.org/entity/Q104514156,https://www.w3.org/ns/activitystreams#Profile
http://www.wikidata.org/entity/Q1048337,http://purl.obolibrary.org/obo/ENVO_00000058
http://www.wikidata.org/entity/Q1048525,http://dbpedia.org/ontology/GolfCourse
http://www.wikidata.org/entity/Q1048525,https://schema.org/GolfCourse
http://www.wikidata.org/entity/Q1050744,http://www.lexinfo.net/ontology/3.0/lexinfo#RelativePronoun
