prop,ext,type,status
http://www.wikidata.org/entity/P112,http://bibliograph.net/founder,Equiv_Prop,
http://www.wikidata.org/entity/P123,http://bibliograph.net/publishedBy,Equiv_Prop,
http://www.wikidata.org/entity/P629,http://bibliograph.net/translationOfWork,Ext_Subprop,
http://www.wikidata.org/entity/P9745,http://bibliograph.net/translationOfWork,Exact_Prop,
http://www.wikidata.org/entity/P655,http://bibliograph.net/translator,Equiv_Prop,
http://www.wikidata.org/entity/P688,http://bioschemas.org/encodesBioChemEntity,Equiv_Prop,
http://www.wikidata.org/entity/P5572,http://bioschemas.org/expressedIn,Equiv_Prop,
http://www.wikidata.org/entity/P680,http://bioschemas.org/hasMolecularFunction,Equiv_Prop,
http://www.wikidata.org/entity/P235,http://bioschemas.org/inChIKey,Equiv_Prop,
http://www.wikidata.org/entity/P702,http://bioschemas.org/isEncodedByBioChemEntity,Equiv_Prop,
http://www.wikidata.org/entity/P682,http://bioschemas.org/isInvolvedInBiologicalProcess,Equiv_Prop,
http://www.wikidata.org/entity/P681,http://bioschemas.org/isLocatedInSubcellularLocation,Equiv_Prop,
http://www.wikidata.org/entity/P274,http://bioschemas.org/molecularFormula,Equiv_Prop,
http://www.wikidata.org/entity/P171,http://bioschemas.org/parentTaxon,Equiv_Prop,
http://www.wikidata.org/entity/P233,http://bioschemas.org/smiles,Equiv_Prop,
http://www.wikidata.org/entity/P105,http://bioschemas.org/taxonRank,Equiv_Prop,
http://www.wikidata.org/entity/P4969,http://comicmeta.org/cbo/adaptation,Equiv_Prop,
http://www.wikidata.org/entity/P144,http://comicmeta.org/cbo/adaptationOf,Equiv_Prop,
http://www.wikidata.org/entity/P767,http://comicmeta.org/cbo/contributor,Equiv_Prop,
http://www.wikidata.org/entity/P750,http://comicmeta.org/cbo/distributedBy,Ext_Subprop,
http://www.wikidata.org/entity/P136,http://comicmeta.org/cbo/genre,Ext_Subprop,
http://www.wikidata.org/entity/P957,http://comicmeta.org/cbo/isbn,Ext_Superprop,
http://www.wikidata.org/entity/P212,http://comicmeta.org/cbo/isbn,Ext_Superprop,
http://www.wikidata.org/entity/P433,http://comicmeta.org/cbo/issueNumber,Equiv_Prop,
http://www.wikidata.org/entity/P364,http://comicmeta.org/cbo/language,Ext_Subprop,
http://www.wikidata.org/entity/P186,http://comicmeta.org/cbo/material,Ext_Subprop,
http://www.wikidata.org/entity/P127,http://comicmeta.org/cbo/owner,Ext_Subprop,
http://www.wikidata.org/entity/P1104,http://comicmeta.org/cbo/pageCount,Equiv_Prop,
